"membership_id";"membership_plan";"renewal_cycle";"first_join_date";"event_name";"upsell_date";"new_renewal_cycle";"membership_amount";"currency";"renews_date";"upsell_plan";"churn_date";"cancellation_date";"log_creation_time"
1;Custom;Monthly;"2019-04-25 00:00:00";MembershipChurnUpdated;NULL;NULL;579;USD;NULL;NULL;"2020-05-01 07:00:00";NULL;"2020-05-08 00:00:00"
1;Custom;Monthly;"2019-04-25 00:00:00";MembershipChurnUpdated;NULL;NULL;579;USD;NULL;NULL;"2019-09-01 07:00:10";NULL;"2020-05-08 00:00:00"
1;Custom;Monthly;"2019-04-25 00:00:00";MembershipUpsellUpdated;"2020-01-01 07:00:08";NULL;499;USD;NULL;NULL;NULL;NULL;"2020-05-08 00:00:00"
1;Custom;Monthly;"2019-04-25 00:00:00";MembershipUpsellUpdated;"2019-10-01 07:00:12";NULL;499;USD;NULL;NULL;NULL;NULL;"2020-05-08 00:00:00"
1;Custom;Monthly;"2019-04-25 00:00:00";MembershipCancelled;NULL;NULL;NULL;USD;NULL;NULL;NULL;NULL;"2020-04-03 00:00:00"
1;Custom;Monthly;"2019-04-25 00:00:00";MembershipRenewed;NULL;NULL;NULL;USD;"2020-05-01 07:00:00";NULL;NULL;NULL;"2020-04-01 00:00:00"
1;Custom;Monthly;"2019-04-25 00:00:00";MembershipUpdated;NULL;NULL;NULL;USD;"2020-05-01 07:00:00";NULL;NULL;NULL;"2020-04-01 00:00:00"
1;Custom;Monthly;"2019-04-25 00:00:00";MembershipRenewed;NULL;NULL;NULL;USD;"2020-04-01 07:00:00";NULL;NULL;NULL;"2020-03-01 00:00:00"
1;Custom;Monthly;"2019-04-25 00:00:00";MembershipUpdated;NULL;NULL;NULL;USD;"2020-04-01 07:00:00";NULL;NULL;NULL;"2020-03-01 00:00:00"
1;Custom;Monthly;"2019-04-25 00:00:00";MembershipRenewed;NULL;NULL;NULL;USD;"2020-03-01 07:00:00";NULL;NULL;NULL;"2020-02-01 00:00:00"
1;Custom;Monthly;"2019-04-25 00:00:00";MembershipUpdated;NULL;NULL;NULL;USD;"2020-03-01 07:00:00";NULL;NULL;NULL;"2020-02-01 00:00:00"
1;Custom;Monthly;"2019-04-25 00:00:00";MembershipRenewed;NULL;NULL;NULL;USD;"2020-02-01 07:00:00";NULL;NULL;NULL;"2020-01-01 00:00:00"
1;Custom;Monthly;"2019-04-25 00:00:00";MembershipUpdated;NULL;NULL;NULL;USD;"2020-02-01 07:00:00";NULL;NULL;NULL;"2020-01-01 00:00:00"
2;Custom;Quarterly;"2019-05-14 00:00:00";MembershipChurnUpdated;NULL;NULL;579;DKK;NULL;NULL;"2020-09-01 07:00:00";NULL;"2020-06-02 00:00:00"
2;Custom;Quarterly;"2019-05-14 00:00:00";MembershipValueChanged;NULL;3;579;DKK;NULL;NULL;NULL;NULL;"2020-06-02 00:00:00"
2;Custom;Quarterly;"2019-05-14 00:00:00";MembershipCancelled;NULL;NULL;499;DKK;NULL;NULL;NULL;"2020-09-01 07:00:00";"2020-06-02 00:00:00"
2;Custom;Quarterly;"2019-05-14 00:00:00";MembershipRenewed;NULL;NULL;499;DKK;"2020-09-01 07:00:00";NULL;NULL;NULL;"2020-06-01 00:00:00"
2;Custom;Quarterly;"2019-05-14 00:00:00";MembershipUpdated;NULL;NULL;499;DKK;"2020-09-01 07:00:00";NULL;NULL;NULL;"2020-06-01 00:00:00"
2;Custom;Quarterly;"2019-05-14 00:00:00";MembershipChurnUpdated;NULL;NULL;579;DKK;NULL;NULL;"2019-06-10 17:01:38";NULL;"2020-05-08 00:00:00"
2;Custom;Quarterly;"2019-05-14 00:00:00";MembershipUpsellUpdated;"2020-03-01 07:00:12";NULL;5,952;DKK;NULL;NULL;NULL;NULL;"2020-05-08 00:00:00"
2;Custom;Quarterly;"2019-05-14 00:00:00";MembershipUpsellUpdated;"2019-12-01 07:00:09";NULL;499;DKK;NULL;NULL;NULL;NULL;"2020-05-08 00:00:00"
2;Custom;Quarterly;"2019-05-14 00:00:00";MembershipUpsellUpdated;"2019-08-02 23:52:02";NULL;579;DKK;NULL;NULL;NULL;NULL;"2020-05-08 00:00:00"
2;Custom;Quarterly;"2019-05-14 00:00:00";MembershipValueChanged;NULL;3;5,952;DKK;NULL;NULL;NULL;NULL;"2020-04-20 00:00:00"
2;Custom;Quarterly;"2019-05-14 00:00:00";MembershipRenewed;NULL;NULL;NULL;DKK;"2020-06-01 07:00:00";NULL;NULL;NULL;"2020-03-01 00:00:00"
2;Custom;Quarterly;"2019-05-14 00:00:00";MembershipUpdated;NULL;NULL;NULL;DKK;"2020-06-01 07:00:00";NULL;NULL;NULL;"2020-03-01 00:00:00"
2;Custom;Quarterly;"2019-05-14 00:00:00";MembershipRenewed;NULL;NULL;NULL;DKK;"2020-03-01 07:00:00";NULL;NULL;NULL;"2019-12-27 00:00:00"
2;Custom;Quarterly;"2019-05-14 00:00:00";MembershipUpdated;NULL;NULL;499;DKK;"2020-03-01 07:00:00";NULL;NULL;NULL;"2019-12-19 00:00:00"
2;Custom;Quarterly;"2019-05-14 00:00:00";MembershipUpdated;NULL;NULL;499;DKK;"2020-03-13 07:00:00";NULL;NULL;NULL;"2019-12-19 00:00:00"
4;Custom;Quarterly;"2019-06-06 00:00:00";MembershipUpdated;NULL;NULL;499;USD;NULL;NULL;NULL;NULL;"2020-11-24 00:00:00"
5;Bronze;Quarterly;"2019-06-06 00:00:00";MembershipChurnUpdated;NULL;NULL;579;USD;NULL;NULL;"2021-04-01 07:00:00";NULL;"2021-02-15 00:00:00"
5;Bronze;Quarterly;"2019-06-06 00:00:00";MembershipValueChanged;NULL;3;579;USD;NULL;NULL;NULL;NULL;"2021-02-15 00:00:00"
5;Bronze;Quarterly;"2019-06-06 00:00:00";MembershipCancelled;NULL;NULL;499;USD;NULL;NULL;NULL;"2021-04-01 07:00:00";"2021-02-15 00:00:00"
5;Bronze;Quarterly;"2019-06-06 00:00:00";MembershipRenewed;NULL;NULL;499;USD;"2021-04-01 07:00:00";NULL;NULL;NULL;"2021-01-01 00:00:00"
5;Bronze;Quarterly;"2019-06-06 00:00:00";MembershipUpdated;NULL;NULL;499;USD;"2021-04-01 07:00:00";Bronze;NULL;NULL;"2021-01-01 00:00:00"
5;Bronze;Quarterly;"2019-06-06 00:00:00";MembershipUpdated;NULL;NULL;499;USD;"2021-01-01 07:00:00";Bronze;NULL;NULL;"2020-11-24 00:00:00"
5;Bronze;Quarterly;"2019-06-06 00:00:00";MembershipRenewed;NULL;NULL;499;USD;"2021-01-01 07:00:00";NULL;NULL;NULL;"2020-10-01 00:00:00"
5;Bronze;Quarterly;"2019-06-06 00:00:00";MembershipUpdated;NULL;NULL;499;USD;"2021-01-01 07:00:00";NULL;NULL;NULL;"2020-10-01 00:00:00"
5;Bronze;Quarterly;"2019-06-06 00:00:00";MembershipRenewed;NULL;NULL;499;USD;"2020-10-01 07:00:00";NULL;NULL;NULL;"2020-07-01 00:00:00"
5;Bronze;Quarterly;"2019-06-06 00:00:00";MembershipUpdated;NULL;NULL;499;USD;"2020-10-01 07:00:00";NULL;NULL;NULL;"2020-07-01 00:00:00"
5;Bronze;Quarterly;"2019-06-06 00:00:00";MembershipChurnUpdated;NULL;NULL;2,097;USD;NULL;NULL;"2019-08-08 16:18:37";NULL;"2020-05-08 00:00:00"
5;Bronze;Quarterly;"2019-06-06 00:00:00";MembershipUpsellUpdated;"2020-01-01 07:00:09";NULL;699;USD;NULL;NULL;NULL;NULL;"2020-05-08 00:00:00"
5;Bronze;Quarterly;"2019-06-06 00:00:00";MembershipRenewed;NULL;NULL;NULL;USD;"2020-07-01 07:00:00";NULL;NULL;NULL;"2020-04-01 00:00:00"
5;Bronze;Quarterly;"2019-06-06 00:00:00";MembershipUpdated;NULL;NULL;NULL;USD;"2020-07-01 07:00:00";NULL;NULL;NULL;"2020-04-01 00:00:00"
5;Bronze;Quarterly;"2019-06-06 00:00:00";MembershipRenewed;NULL;NULL;NULL;USD;"2020-04-01 07:00:00";NULL;NULL;NULL;"2020-01-01 00:00:00"
5;Bronze;Quarterly;"2019-06-06 00:00:00";MembershipUpdated;NULL;NULL;NULL;USD;"2020-04-01 07:00:00";NULL;NULL;NULL;"2020-01-01 00:00:00"
6;Silver;"6 Month";"2019-06-06 00:00:00";MembershipUpdated;NULL;NULL;499;USD;"2022-11-01 07:00:00";Silver;NULL;NULL;"2022-05-27 00:00:00"
6;Silver;"6 Month";"2019-06-06 00:00:00";MembershipUpdated;NULL;NULL;499;USD;"2022-11-01 07:00:00";Silver;NULL;NULL;"2022-05-20 00:00:00"
6;Silver;"6 Month";"2019-06-06 00:00:00";MembershipUpdated;NULL;NULL;499;USD;"2022-11-01 07:00:00";Silver;NULL;NULL;"2022-05-13 00:00:00"
6;Silver;"6 Month";"2019-06-06 00:00:00";MembershipRenewed;NULL;NULL;499;USD;"2022-11-01 07:00:00";NULL;NULL;NULL;"2022-05-01 00:00:00"
6;Silver;"6 Month";"2019-06-06 00:00:00";MembershipUpdated;NULL;NULL;499;USD;"2022-11-01 07:00:00";Silver;NULL;NULL;"2022-05-01 00:00:00"
