"membership_id";"membership_amount";"currency";"renewal_cycle";"membership_plan";"join_date";"charge_amount";"description_event";"discount";"status";"message";"transaction_date";"triggered_by";"payment_method"
1;499;USD;Monthly;Custom;"2019-04-25 00:00:00";499;membership payment;0;Success;Success;"2020-03-24 00:00:00";system;PaymentCard
1;499;USD;Monthly;Custom;"2019-04-25 00:00:00";499;membership payment;0;Success;Success;"2020-02-25 00:00:00";system;PaymentCard
1;499;USD;Monthly;Custom;"2019-04-25 00:00:00";499;membership payment;0;Success;Success;"2020-01-22 00:00:00";system;PaymentCard
1;499;USD;Monthly;Custom;"2019-04-25 00:00:00";499;membership payment;0;Success;Success;"2020-01-22 00:00:00";system;PaymentCard
1;499;USD;Monthly;Custom;"2019-04-25 00:00:00";499;membership payment;0;Success;Success;"2019-11-22 00:00:00";system;PaymentCard
1;499;USD;Monthly;Custom;"2019-04-25 00:00:00";499;membership payment;0;Success;Success;"2019-11-22 00:00:00";system;PaymentCard
1;499;USD;Monthly;Custom;"2019-04-25 00:00:00";499;membership payment;0;Success;Success;"2019-11-22 00:00:00";system;PaymentCard
1;499;USD;Monthly;Custom;"2019-04-25 00:00:00";999;membership payment;0;Success;Success;"2019-06-07 00:00:00";system;PaymentCard
2;5,952;DKK;Quarterly;Custom;"2019-05-14 00:00:00";22,320;membership payment;0;Success;Success;"2020-07-10 00:00:00";system;PaymentCard
2;5,952;DKK;Quarterly;Custom;"2019-05-14 00:00:00";7,440;membership payment;0;Success;Success;"2020-07-10 00:00:00";system;PaymentCard
2;5,952;DKK;Quarterly;Custom;"2019-05-14 00:00:00";3,371.25;membership payment;0;Success;Success;"2019-12-10 00:00:00";system;PaymentCard
2;5,952;DKK;Quarterly;Custom;"2019-05-14 00:00:00";3,371.25;membership payment;0;Success;Success;"2019-12-10 00:00:00";system;PaymentCard
2;5,952;DKK;Quarterly;Custom;"2019-05-14 00:00:00";3,371.25;membership payment;0;Success;Success;"2019-11-12 00:00:00";system;PaymentCard
2;5,952;DKK;Quarterly;Custom;"2019-05-14 00:00:00";2,247.5;membership payment;0;Success;Success;"2019-10-08 00:00:00";system;PaymentCard
2;5,952;DKK;Quarterly;Custom;"2019-05-14 00:00:00";1,123.75;membership payment;0;Success;Success;"2019-05-15 00:00:00";system;PaymentCard
4;499;USD;Quarterly;Custom;"2019-06-06 00:00:00";1,497;membership payment;0;Success;Success;"2020-02-04 00:00:00";system;PaymentCard
4;499;USD;Quarterly;Custom;"2019-06-06 00:00:00";1,497;membership payment;0;Success;Success;"2019-09-04 00:00:00";system;PaymentCard
5;699;USD;Quarterly;Bronze;"2019-06-06 00:00:00";2,097;membership payment;0;Success;Success;"2021-01-01 00:00:00";system;PaymentCard
5;699;USD;Quarterly;Bronze;"2019-06-06 00:00:00";2,097;membership payment;0;Success;Success;"2020-05-19 00:00:00";system;PaymentCard
5;699;USD;Quarterly;Bronze;"2019-06-06 00:00:00";2,097;membership payment;0;Success;Success;"2020-02-18 00:00:00";system;PaymentCard
