"charge_amount","currency","membership_id","description_event","discount","status","message","transaction_date","triggered_by","payment_method"
"1123.75",NULL,2,membership payment,0,Success,Success,"2019-05-15 00:00:00",system,PaymentCard
"999",NULL,1,membership payment,0,Success,Success,"2019-06-07 00:00:00",system,PaymentCard
"3209.43",NULL,7,membership payment,0,Success,Success,"2019-07-09 00:00:00",system,PaymentCard
"6291",NULL,5,membership payment,0,Success,Success,"2019-08-09 00:00:00",system,PaymentCard
"1497",NULL,4,membership payment,0,Success,Success,"2019-09-04 00:00:00",system,PaymentCard
"2097",NULL,5,membership payment,0,Success,Success,"2019-09-04 00:00:00",system,PaymentCard
"3371.25",NULL,6,membership payment,0,Success,Success,"2019-09-04 00:00:00",system,PaymentCard
"1497",NULL,8,membership payment,0,Success,Success,"2019-09-04 00:00:00",system,PaymentCard
"2247.5",NULL,2,membership payment,0,Success,Success,"2019-10-08 00:00:00",system,PaymentCard
"1497",NULL,17,membership payment,0,Success,Success,"2019-10-22 00:00:00",system,PaymentCard
"3371.25",NULL,2,membership payment,0,Success,Success,"2019-11-12 00:00:00",system,PaymentCard
"1497",NULL,15,membership payment,0,Success,Success,"2019-11-19 00:00:00",system,PaymentCard
"1497",NULL,20,membership payment,0,Success,Success,"2019-11-19 00:00:00",system,PaymentCard
"499",NULL,1,membership payment,0,Success,Success,"2019-11-22 00:00:00",system,PaymentCard
"499",NULL,1,membership payment,0,Success,Success,"2019-11-22 00:00:00",system,PaymentCard
"499",NULL,1,membership payment,0,Success,Success,"2019-11-22 00:00:00",system,PaymentCard
"1497",NULL,12,membership payment,0,Success,Success,"2019-11-22 00:00:00",system,PaymentCard
"1497",NULL,19,membership payment,0,Success,Success,"2019-11-28 00:00:00",system,PaymentCard
"499",NULL,19,membership payment,0,Success,Success,"2019-11-28 00:00:00",system,PaymentCard
"499",NULL,19,membership payment,0,Success,Success,"2019-11-28 00:00:00",system,PaymentCard
"3371.25",NULL,6,membership payment,0,Success,Success,"2019-12-03 00:00:00",system,PaymentCard
"3371.25",NULL,2,membership payment,0,Success,Success,"2019-12-10 00:00:00",system,PaymentCard
"1497",NULL,7,membership payment,0,Success,Success,"2019-12-10 00:00:00",system,PaymentCard
